年月日,日報酬率 %
2021/06/18,-0.4144
2021/06/17,0.4781
2021/06/16,-0.3651
2021/06/15,0.9165
2021/06/11,0.3164
2021/06/10,1.1376
2021/06/09,-0.6441
2021/06/08,-0.0451
2021/06/07,-0.3703
2021/06/04,-0.5726
2021/06/03,0.4726
2021/06/02,0.0155
2021/06/01,0.5504
2021/05/31,1.1711
2021/05/28,1.6218
2021/05/27,-0.2528
2021/05/26,0.2894
2021/05/25,1.5753
2021/05/24,0.2222
2021/05/21,1.6188
2021/05/20,-0.5597
2021/05/19,-0.0825
2021/05/18,5.1589
2021/05/17,-2.9898
2021/05/14,1.0018
2021/05/13,-1.4606
2021/05/12,-4.1051
2021/05/11,-3.7857
2021/05/10,-0.2857
2021/05/07,1.7102
2021/05/06,0.896
2021/05/05,-0.5335
2021/05/04,-1.6756
2021/05/03,-1.96
2021/04/29,-0.005
2021/04/28,-0.1612
2021/04/27,0.1344
2021/04/26,1.5723
2021/04/23,1.1891
2021/04/22,-0.6112
2021/04/21,-0.7028
2021/04/20,0.351
2021/04/19,0.6088
2021/04/16,0.4807
2021/04/15,1.2496
2021/04/14,0.244
2021/04/13,-0.2064
2021/04/12,0.0332
2021/04/09,-0.4274
2021/04/08,0.6606
2021/04/07,0.451
2021/04/06,1.0174
2021/04/01,0.853
2021/03/31,-0.7476
2021/03/30,0.4791
2021/03/29,1.0431
2021/03/26,1.5301
2021/03/25,0.1748
2021/03/24,-0.8992
2021/03/23,-0.0718
2021/03/22,0.7404
2021/03/19,-1.336
2021/03/18,0.4441
2021/03/17,-0.5967
2021/03/16,0.3928
2021/03/15,-0.036
2021/03/12,0.4674
2021/03/11,1.6836
2021/03/10,0.3695
2021/03/09,0.2085
2021/03/08,-0.2215
2021/03/05,-0.3218
2021/03/04,-1.8833
2021/03/03,1.6608
2021/03/02,-0.0434
2021/02/26,-3.0293
2021/02/25,1.4782
2021/02/24,-1.404
2021/02/23,0.2026
2021/02/22,0.4209
2021/02/19,-0.5061
2021/02/18,0.3803
2021/02/17,3.5431
2021/02/05,0.6124
2021/02/04,-0.4128
2021/02/03,0.0715
2021/02/02,2.271
2021/02/01,1.7953
2021/01/29,-1.8005
2021/01/28,-1.8187
2021/01/27,0.2721
2021/01/26,-1.8041
2021/01/25,-0.4525
2021/01/22,-0.8341
2021/01/21,2.1991
2021/01/20,-0.4484
2021/01/19,1.6998
2021/01/18,-0.0281
2021/01/15,-0.5781
2021/01/14,-0.3982
2021/01/13,1.7372
2021/01/12,-0.3638
2021/01/11,0.6037
2021/01/08,1.6429
2021/01/07,1.5409
2021/01/06,-0.1127
2021/01/05,0.6576
2021/01/04,1.1505
2020/12/31,0.3052
2020/12/30,1.4901
2020/12/29,-0.0761
2020/12/28,1.0582
2020/12/25,0.3581
2020/12/24,0.4021
2020/12/23,0.3218
2020/12/22,-1.4425
2020/12/21,0.9474
2020/12/18,-0.0629
2020/12/17,-0.3183
2020/12/16,1.6771
