年月日,日報酬率 %
2020/07/13,1.7217
2020/07/10,1.0145
2020/07/09,1.173
2020/07/08,0.7386
2020/07/07,0.1479
2020/07/06,2.5797
2020/07/03,2.3292
2020/07/02,1.4173
2020/07/01,1.4377
2020/06/30,0.3205
2020/06/29,-1.7323
2020/06/24,0.7937
2020/06/23,0.9615
2020/06/22,-0.7949
2020/06/19,0
2020/06/18,0.6349
2020/06/17,0
2020/06/16,1.7771
2020/06/15,-2.057
2020/06/12,-1.4041
2020/06/11,-0.6202
2020/06/10,1.0972
2020/06/09,0.3145
2020/06/08,2.0867
2020/06/05,1.7974
2020/06/04,1.6611
2020/06/03,1.5177
2020/06/02,0.3384
2020/06/01,1.1986
2020/05/29,-0.6803
2020/05/28,-0.8432
2020/05/27,0.3384
2020/05/26,1.1986
2020/05/25,0
2020/05/22,-1.8487
2020/05/21,1.1905
2020/05/20,0.8576
2020/05/19,0.5172
2020/05/18,-2.6846
2020/05/15,1.7065
2020/05/14,-1.3468
2020/05/13,0.678
2020/05/12,-1.9934
2020/05/11,1.1765
2020/05/08,0
2020/05/07,0.5068
2020/05/06,0.1692
2020/05/05,0.1695
2020/05/04,-3.1199
2020/04/30,1.8395
2020/04/29,0.8432
2020/04/28,-0.5034
2020/04/27,1.3605
2020/04/24,-0.5076
2020/04/23,0.5102
2020/04/22,-0.339
2020/04/21,-2.9605
2020/04/20,-0.8157
2020/04/17,6.9808
2020/04/16,-0.3478
2020/04/15,0.8772
2020/04/14,2.3339
2020/04/13,-0.3578
2020/04/10,-1.2367
2020/04/09,-0.7018
2020/04/08,0.7067
2020/04/07,2.7223
2020/04/06,1.4733
2020/04/01,-0.9124
2020/03/31,2.4299
2020/03/30,-2.0147
2020/03/27,-2.5
2020/03/26,1.083
2020/03/25,3.5514
2020/03/24,4.902
2020/03/23,-5.5556
2020/03/20,8.871
2020/03/19,-3.6538
2020/03/18,-2.9851
2020/03/17,-3.0741
2020/03/16,-4.6552
2020/03/13,-1.3605
2020/03/12,-2.649
